           table_name           |        column_name         |          data_type          | is_nullable 
--------------------------------+----------------------------+-----------------------------+-------------
 abuse_events                   | created_at                 | timestamp with time zone    | NO
 abuse_events                   | id                         | uuid                        | NO
 abuse_events                   | user_id                    | uuid                        | YES
 abuse_events                   | description                | text                        | YES
 abuse_events                   | event_type                 | character varying           | NO
 abuse_events                   | ip_address                 | character varying           | YES
 abuse_reports                  | created_at                 | timestamp with time zone    | NO
 abuse_reports                  | id                         | bigint                      | NO
 abuse_reports                  | reporter_id                | bigint                      | NO
 abuse_reports                  | target_user_id             | bigint                      | YES
 abuse_reports                  | target_stream_id           | uuid                        | YES
 abuse_reports                  | reason                     | character varying           | NO
 abuse_reports                  | status                     | character varying           | NO
 adaptive_tip_experiments       | id                         | uuid                        | NO
 adaptive_tip_experiments       | confidence_tier            | character varying           | YES
 adaptive_tip_experiments       | created_at                 | timestamp without time zone | YES
 adaptive_tip_experiments       | evaluated_at               | timestamp without time zone | YES
 adaptive_tip_experiments       | experiment_group           | character varying           | YES
 adaptive_tip_experiments       | momentum                   | double precision            | NO
 adaptive_tip_experiments       | previous_floor             | double precision            | NO
 adaptive_tip_experiments       | revenue_after24h           | double precision            | YES
 adaptive_tip_experiments       | revenue_after7d            | double precision            | YES
 adaptive_tip_experiments       | risk_score                 | integer                     | NO
 adaptive_tip_experiments       | success                    | boolean                     | YES
 adaptive_tip_experiments       | suggested_floor            | double precision            | NO
 adaptive_tip_experiments       | creator_id                 | bigint                      | NO
 adaptive_tip_experiments       | baseline_revenue           | double precision            | YES
 adaptive_tip_experiments       | new_risk_score             | integer                     | YES
 adaptive_tip_experiments       | revenue_lift               | double precision            | YES
 adaptive_tip_experiments       | risk_delta                 | double precision            | YES
 aml_incidents                  | created_at                 | timestamp with time zone    | NO
 aml_incidents                  | id                         | uuid                        | NO
 aml_incidents                  | user_id                    | uuid                        | NO
 aml_incidents                  | description                | text                        | YES
 aml_incidents                  | risk_level                 | character varying           | NO
 aml_risk_scores                | score                      | integer                     | NO
 aml_risk_scores                | last_evaluated_at          | timestamp with time zone    | NO
 aml_risk_scores                | id                         | uuid                        | NO
 aml_risk_scores                | user_id                    | uuid                        | NO
 aml_risk_scores                | level                      | character varying           | NO
 aml_rules                      | enabled                    | boolean                     | NO
 aml_rules                      | threshold                  | integer                     | NO
 aml_rules                      | id                         | uuid                        | NO
 aml_rules                      | code                       | character varying           | NO
 aml_rules                      | description                | character varying           | NO
 analytics_events               | created_at                 | timestamp with time zone    | NO
 analytics_events               | user_id                    | bigint                      | YES
 analytics_events               | id                         | uuid                        | NO
 analytics_events               | event_type                 | character varying           | NO
 analytics_events               | funnel_id                  | character varying           | YES
 analytics_events               | metadata                   | jsonb                       | YES
 audit_logs                     | created_at                 | timestamp with time zone    | NO
 audit_logs                     | actor_user_id              | uuid                        | YES
 audit_logs                     | id                         | uuid                        | NO
 audit_logs                     | target_id                  | uuid                        | YES
 audit_logs                     | action                     | character varying           | NO
 audit_logs                     | ip_address                 | character varying           | YES
 audit_logs                     | metadata                   | text                        | YES
 audit_logs                     | target_type                | character varying           | NO
 audit_logs                     | user_agent                 | character varying           | YES
 badges                         | duration_days              | integer                     | YES
 badges                         | created_at                 | timestamp with time zone    | YES
 badges                         | token_cost                 | bigint                      | NO
 badges                         | id                         | uuid                        | NO
 badges                         | name                       | character varying           | NO
 chargeback_audits              | cluster_size               | integer                     | YES
 chargeback_audits              | created_at                 | timestamp with time zone    | NO
 chargeback_audits              | creator_id                 | bigint                      | YES
 chargeback_audits              | chargeback_id              | uuid                        | NO
 chargeback_audits              | id                         | uuid                        | NO
 chargeback_audits              | user_id                    | uuid                        | NO
 chargeback_audits              | actions_taken              | text                        | YES
 chargeback_audits              | reason                     | text                        | YES
 chargeback_audits              | risk_level                 | character varying           | YES
 chargeback_cases               | amount                     | numeric                     | NO
 chargeback_cases               | fraud_score_at_time        | integer                     | NO
 chargeback_cases               | created_at                 | timestamp with time zone    | NO
 chargeback_cases               | updated_at                 | timestamp with time zone    | YES
 chargeback_cases               | id                         | uuid                        | NO
 chargeback_cases               | user_id                    | uuid                        | NO
 chargeback_cases               | currency                   | character varying           | NO
 chargeback_cases               | payment_intent_id          | character varying           | NO
 chargeback_cases               | reason                     | character varying           | YES
 chargeback_cases               | status                     | character varying           | NO
 chargebacks                    | amount                     | numeric                     | YES
 chargebacks                    | created_at                 | timestamp with time zone    | NO
 chargebacks                    | id                         | bigint                      | NO
 chargebacks                    | resolved_at                | timestamp with time zone    | YES
 chargebacks                    | user_id                    | bigint                      | NO
 chargebacks                    | currency                   | character varying           | YES
 chargebacks                    | reason                     | character varying           | YES
 chargebacks                    | status                     | character varying           | YES
 chargebacks                    | stripe_charge_id           | character varying           | NO
 chat_messages                  | created_at                 | timestamp with time zone    | NO
 chat_messages                  | id                         | bigint                      | NO
 chat_messages                  | room_id                    | bigint                      | NO
 chat_messages                  | sender_id                  | bigint                      | NO
 chat_messages                  | content                    | text                        | YES
 chat_messages                  | sender_role                | character varying           | YES
 chat_moderations               | created_at                 | timestamp with time zone    | NO
 chat_moderations               | expires_at                 | timestamp with time zone    | YES
 chat_moderations               | id                         | bigint                      | NO
 chat_moderations               | moderator_id               | bigint                      | NO
 chat_moderations               | target_user_id             | bigint                      | YES
 chat_moderations               | action                     | character varying           | NO
 chat_moderations               | message_id                 | character varying           | YES
 chat_moderations               | reason                     | character varying           | YES
 chat_moderations               | room_id                    | character varying           | YES
 chat_rooms                     | is_live                    | boolean                     | NO
 chat_rooms                     | is_paid                    | boolean                     | NO
 chat_rooms                     | is_private                 | boolean                     | NO
 chat_rooms                     | created_at                 | timestamp with time zone    | NO
 chat_rooms                     | created_by                 | bigint                      | NO
 chat_rooms                     | price_per_message          | bigint                      | YES
 chat_rooms                     | id                         | uuid                        | NO
 chat_rooms                     | ppv_content_id             | uuid                        | YES
 chat_rooms                     | chat_mode                  | character varying           | NO
 chat_rooms                     | name                       | character varying           | NO
 chat_rooms_v2                  | is_live                    | boolean                     | NO
 chat_rooms_v2                  | activated_at               | timestamp with time zone    | YES
 chat_rooms_v2                  | created_at                 | timestamp with time zone    | NO
 chat_rooms_v2                  | creator_id                 | bigint                      | NO
 chat_rooms_v2                  | id                         | bigint                      | NO
 chat_rooms_v2                  | status                     | character varying           | NO
 chat_rooms_v2                  | room_type                  | character varying           | NO
 chat_rooms_v2                  | viewer_id                  | bigint                      | YES
 chat_rooms_v2                  | chat_mode                  | character varying           | NO
 chat_rooms_v2                  | is_private                 | boolean                     | NO
 chat_rooms_v2                  | is_paid                    | boolean                     | NO
 chat_rooms_v2                  | price_per_message          | bigint                      | YES
 chat_rooms_v2                  | name                       | character varying           | YES
 chat_rooms_v2                  | ppv_content_id             | uuid                        | YES
 chat_violation_logs            | creator_id                 | bigint                      | NO
 chat_violation_logs            | id                         | bigint                      | NO
 chat_violation_logs            | timestamp                  | timestamp with time zone    | NO
 chat_violation_logs            | user_id                    | bigint                      | NO
 chat_violation_logs            | message                    | character varying           | NO
 chat_violation_logs            | severity                   | character varying           | NO
 content                        | disabled                   | boolean                     | NO
 content                        | created_at                 | timestamp with time zone    | YES
 content                        | creator_id                 | bigint                      | NO
 content                        | id                         | uuid                        | NO
 content                        | access_level               | character varying           | NO
 content                        | description                | text                        | YES
 content                        | media_url                  | character varying           | YES
 content                        | thumbnail_url              | character varying           | YES
 content                        | title                      | character varying           | NO
 content                        | unlock_price_tokens        | integer                     | NO
 content                        | type                       | character varying           | NO
 content_analytics              | date                       | date                        | NO
 content_analytics              | revenue                    | numeric                     | NO
 content_analytics              | content_id                 | uuid                        | NO
 content_analytics              | creator_id                 | uuid                        | NO
 content_analytics              | id                         | uuid                        | NO
 content_analytics              | content_type               | character varying           | NO
 content_unlocks                | id                         | uuid                        | NO
 content_unlocks                | user_id                    | bigint                      | NO
 content_unlocks                | content_id                 | uuid                        | NO
 content_unlocks                | unlocked_at                | timestamp without time zone | NO
